vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
2,1/1/2022 0:38:32,1/1/2022 0:54:08,1,9.11,1.0,N,1,26,0.5,0.5,6.82,0,0.3,0,34.12,70,49,2022,1
1,1/1/2022 0:29:38,1/1/2022 1:17:01,1,24.6,1.0,N,1,68.5,1.75,0.5,15.5,6.55,0.3,1.25,93.1,132,241,2022,1
1,1/1/2022 0:28:04,1/1/2022 1:01:35,0,6.6,1.0,N,1,25,3,0.5,8.6,0,0.3,0,37.4,148,179,2022,1
2,1/1/2022 0:26:37,1/1/2022 0:55:00,1,3.97,1.0,N,1,19.5,0.5,0.5,4.66,0,0.3,0,27.96,237,249,2022,1
1,1/1/2022 0:37:01,1/1/2022 1:02:44,2,4.9,1.0,N,1,21.5,3,0.5,5.05,0,0.3,0,30.35,170,45,2022,1
2,1/1/2022 0:45:05,1/1/2022 1:12:04,6,6.72,1.0,N,1,23.5,0.5,0.5,5.46,0,0.3,0,32.76,107,166,2022,1
2,1/1/2022 0:46:50,1/1/2022 1:06:52,1,13.27,1.0,N,1,37,0.5,0.5,9.89,0,0.3,1.25,49.44,132,129,2022,1
2,1/1/2022 0:05:13,1/1/2022 0:22:26,2,10.41,1.0,N,1,29.5,0.5,0.5,6.66,0,0.3,0,39.96,137,127,2022,1
2,1/1/2022 0:07:06,1/1/2022 0:29:17,1,14.94,1.0,N,1,40,0.5,0.5,10.07,6.55,0.3,0,60.42,264,87,2022,1
1,1/1/2022 0:29:02,1/1/2022 1:02:50,1,2.8,1.0,N,1,20,0.5,0.5,4.25,0,0.3,0,25.55,264,264,2022,1
2,1/1/2022 0:44:10,1/1/2022 1:05:14,3,8.07,1.0,N,1,25,0.5,0.5,5.76,0,0.3,0,34.56,237,33,2022,1
2,1/1/2022 0:37:30,1/1/2022 1:11:37,6,3.07,1.0,N,1,21,0.5,0.5,4.96,0,0.3,0,29.76,79,48,2022,1
1,1/1/2022 0:57:40,1/1/2022 1:19:49,1,11.3,5.0,N,1,80,0,0,40,0,0.3,0,120.3,239,265,2022,1
1,1/1/2022 0:48:21,1/1/2022 1:18:09,2,20.4,1.0,N,1,55,1.75,0.5,25,0,0.3,1.25,82.55,132,40,2022,1
1,1/1/2022 0:54:17,1/1/2022 1:10:53,2,6.8,1.0,N,1,21,3,0.5,4.96,0,0.3,0,29.76,87,263,2022,1
1,1/1/2022 0:20:43,1/1/2022 1:05:31,1,7.1,1.0,N,1,28.5,3,0.5,8.1,0,0.3,0,40.4,161,48,2022,1
1,1/1/2022 0:24:12,1/1/2022 0:48:00,1,10.5,1.0,N,1,31.5,3,0.5,8.7,0,0.3,0,44,164,257,2022,1
2,1/1/2022 0:12:56,1/1/2022 0:46:43,2,3.65,1.0,N,1,21.5,0.5,0.5,3.8,0,0.3,0,29.1,158,237,2022,1
2,1/1/2022 0:33:09,1/1/2022 1:00:10,1,21.02,1.0,N,1,55.5,0.5,0.5,7,0,0.3,1.25,65.05,132,65,2022,1
2,1/1/2022 0:53:50,1/1/2022 1:17:27,1,7.24,1.0,N,1,25,0.5,0.5,5.76,0,0.3,0,34.56,68,41,2022,1
2,1/1/2022 0:00:17,1/1/2022 0:31:04,1,3.86,1.0,N,1,20,0.5,0.5,4.76,0,0.3,0,28.56,170,68,2022,1
1,1/1/2022 0:21:56,1/1/2022 1:10:40,2,11.3,1.0,N,1,39,3,0.5,10.65,0,0.3,0,53.45,68,8,2022,1
2,1/1/2022 0:45:45,1/1/2022 1:05:46,2,8.46,1.0,N,1,26,0.5,0.5,8.94,0,0.3,0,38.74,237,127,2022,1
2,1/1/2022 0:12:29,1/1/2022 0:29:46,1,8.96,1.0,N,1,26,0.5,0.5,6.77,6.55,0.3,0,40.62,70,151,2022,1
2,1/1/2022 0:34:58,1/1/2022 1:01:17,1,5.74,1.0,N,1,22,0.5,0.5,5.16,0,0.3,0,30.96,239,158,2022,1
1,1/1/2022 0:07:02,1/1/2022 0:50:04,1,7.1,1.0,N,1,30,3,0.5,6.75,0,0.3,0,40.55,163,79,2022,1
1,1/1/2022 0:46:59,1/1/2022 1:13:11,1,9.5,1.0,N,1,29.5,3,0.5,6.65,0,0.3,0,39.95,264,40,2022,1
2,1/1/2022 0:23:52,1/1/2022 0:49:23,1,4.31,1.0,N,1,19.5,0.5,0.5,4.66,0,0.3,0,27.96,163,68,2022,1
2,1/1/2022 0:54:30,1/1/2022 1:28:42,2,20.81,1.0,N,1,57.5,0.5,0.5,11.76,0,0.3,1.25,71.81,132,181,2022,1
2,1/1/2022 0:28:44,1/1/2022 0:28:53,2,0,5.0,N,1,75,0,0,10,0,0.3,0,87.8,50,50,2022,1
2,1/1/2022 0:05:15,1/1/2022 0:34:50,2,3.76,1.0,N,1,20,0.5,0.5,4.76,0,0.3,0,28.56,142,113,2022,1
1,1/1/2022 0:44:35,1/1/2022 1:09:02,1,19,1.0,N,1,50.5,1.75,0.5,10.6,0,0.3,1.25,63.65,132,97,2022,1
2,1/1/2022 0:47:48,1/1/2022 1:16:29,2,6.36,1.0,N,1,24,0.5,0.5,8.34,0,0.3,0,36.14,234,181,2022,1
2,1/1/2022 0:32:59,1/1/2022 1:05:34,1,27.85,4.0,N,1,124.5,0.5,0.5,25.16,0,0.3,1.25,152.21,132,265,2022,1
2,1/1/2022 0:12:19,1/1/2022 0:36:55,1,13.16,1.0,N,1,37.5,0.5,0.5,9.82,6.55,0.3,1.25,58.92,138,114,2022,1
2,1/1/2022 0:23:28,1/1/2022 0:54:46,2,12.31,1.0,N,1,38,0.5,0.5,8.36,0,0.3,0,50.16,238,49,2022,1
2,1/1/2022 0:39:52,1/1/2022 1:03:52,3,8.97,1.0,N,1,29,0.5,0.5,6.56,0,0.3,1.25,40.61,138,161,2022,1
2,1/1/2022 0:33:11,1/1/2022 0:53:50,1,9.8,1.0,N,1,29,0.5,0.5,9.84,6.55,0.3,0,49.19,70,142,2022,1
2,1/1/2022 0:32:38,1/1/2022 1:10:42,1,16.99,5.0,N,1,100,0,0,10,11.75,0.3,0,124.55,48,265,2022,1
2,1/1/2022 0:12:24,1/1/2022 0:47:50,1,17.79,1.0,N,1,50,0.5,0.5,50,0,0.3,0,101.3,166,265,2022,1
1,1/1/2022 0:39:54,1/1/2022 1:08:30,1,15.6,1.0,N,1,43.5,1.75,0.5,3.95,0,0.3,1.25,50,132,71,2022,1
1,1/1/2022 0:36:10,1/1/2022 1:07:33,1,19.6,1.0,N,1,53.5,1.75,0.5,10,0,0.3,1.25,66.05,132,189,2022,1
2,12/31/2021 23:57:19,1/1/2022 0:33:38,5,21.13,1.0,N,1,58.5,0.5,0.5,18.32,0,0.3,1.25,79.37,132,181,2022,1
1,1/1/2022 0:48:43,1/1/2022 1:13:38,3,5.2,1.0,N,1,19.5,3,0.5,4.19,0,0.3,0,27.49,158,262,2022,1
1,1/1/2022 0:38:32,1/1/2022 1:07:32,1,10.8,1.0,N,1,33,3,0.5,7,0,0.3,0,43.8,113,243,2022,1
1,1/1/2022 0:34:19,1/1/2022 0:54:10,1,8.3,1.0,N,1,25,3,0.5,7,0,0.3,0,35.8,141,95,2022,1
2,1/1/2022 0:48:37,1/1/2022 1:36:05,2,7.27,1.0,N,1,33,0.5,0.5,7.36,0,0.3,0,44.16,79,41,2022,1
2,1/1/2022 0:40:46,1/1/2022 1:04:16,1,12.86,1.0,N,1,36,0.5,0.5,7.46,0,0.3,0,44.76,70,61,2022,1
2,1/1/2022 0:46:15,1/1/2022 1:15:53,4,3.64,1.0,N,1,19.5,0.5,0.5,4.66,0,0.3,0,27.96,79,48,2022,1
1,1/1/2022 0:56:34,1/1/2022 1:17:37,3,14.6,1.0,N,1,39.5,1.75,0.5,10.5,0,0.3,1.25,52.55,132,223,2022,1
2,1/1/2022 0:23:12,1/1/2022 0:48:18,1,9.16,1.0,N,1,28,0.5,0.5,1.17,0,0.3,0,32.97,113,26,2022,1
2,1/1/2022 0:21:33,1/1/2022 0:55:13,3,26.64,1.0,N,1,70,0.5,0.5,12,0,0.3,1.25,84.55,132,181,2022,1
2,1/1/2022 0:51:22,1/1/2022 1:17:22,2,5.94,1.0,N,1,21.5,0.5,0.5,5.06,0,0.3,0,30.36,90,41,2022,1
2,1/1/2022 0:31:20,1/1/2022 1:03:12,1,19.83,1.0,N,1,53.5,0.5,0.5,13.7,0,0.3,1.25,69.75,132,181,2022,1
2,1/1/2022 0:23:50,1/1/2022 0:58:05,4,23.35,5.0,N,1,150,0,0,20,6.55,0.3,1.25,178.1,138,265,2022,1
2,1/1/2022 0:38:45,1/1/2022 0:50:43,4,7.22,4.0,N,1,23.5,0.5,0.5,3.95,0,0.3,1.25,30,132,265,2022,1
2,1/1/2022 0:30:30,1/1/2022 0:57:22,2,6.11,1.0,N,1,23,0.5,0.5,6.7,0,0.3,0,33.5,249,236,2022,1
2,1/1/2022 0:49:06,1/1/2022 1:10:51,1,8.34,1.0,N,1,25.5,0.5,0.5,5.86,0,0.3,0,35.16,107,83,2022,1
2,1/1/2022 0:06:56,1/1/2022 0:33:29,5,10.23,1.0,N,1,31,0.5,0.5,6.71,0,0.3,1.25,40.26,132,61,2022,1
2,1/1/2022 0:53:40,1/1/2022 0:53:43,1,0,5.0,N,1,18.3,0,0.5,3.82,0,0.3,0,22.92,264,264,2022,1
2,1/1/2022 0:56:38,1/1/2022 1:22:29,1,11.94,1.0,N,1,35,0.5,0.5,7.76,0,0.3,0,46.56,261,7,2022,1
2,1/1/2022 0:16:55,1/1/2022 0:41:42,5,8.71,1.0,N,1,27,0.5,0.5,6.16,0,0.3,0,36.96,237,25,2022,1
1,1/1/2022 0:21:13,1/1/2022 0:38:18,2,6.6,1.0,Y,1,21.5,3,0.5,5.05,0,0.3,0,30.35,88,163,2022,1
1,1/1/2022 0:40:07,1/1/2022 1:03:22,2,7.7,1.0,N,1,25,3,0.5,1.2,0,0.3,0,30,163,119,2022,1
2,1/1/2022 0:42:30,1/1/2022 1:12:52,1,4.65,1.0,N,1,21.5,0.5,0.5,7.59,0,0.3,0,32.89,79,143,2022,1
2,1/1/2022 0:17:12,1/1/2022 0:49:04,1,3.9,1.0,N,1,22,0.5,0.5,5.16,0,0.3,0,30.96,164,239,2022,1
1,1/1/2022 0:46:57,1/1/2022 1:26:49,1,31.9,4.0,N,1,113.5,1.75,0.5,24.5,6.55,0.3,1.25,147.1,132,265,2022,1
2,1/1/2022 0:46:43,1/1/2022 1:06:16,1,6.28,1.0,N,1,21,0.5,0.5,6.2,0,0.3,0,31,238,113,2022,1
1,1/1/2022 0:06:15,1/1/2022 0:35:17,2,12.8,1.0,N,1,38,4.25,0.5,10.75,0,0.3,1.25,53.8,138,13,2022,1
2,1/1/2022 0:53:20,1/1/2022 1:38:30,1,25.13,1.0,N,1,68.5,0.5,0.5,15.52,6.55,0.3,1.25,93.12,132,244,2022,1
2,1/1/2022 0:23:53,1/1/2022 0:57:48,1,2.18,1.0,N,1,20,0.5,0.5,7.14,0,0.3,0,30.94,142,186,2022,1
1,1/1/2022 0:25:33,1/1/2022 0:38:56,2,5,5.0,N,1,85,0,0,6,0,0.3,0,91.3,48,265,2022,1
2,1/1/2022 0:53:53,1/1/2022 1:20:36,4,4.83,1.0,N,1,20,0.5,0.5,4.76,0,0.3,0,28.56,48,148,2022,1
2,1/1/2022 1:00:33,1/1/2022 1:25:46,2,5.52,1.0,N,1,20.5,0.5,0.5,4.86,0,0.3,0,29.16,255,249,2022,1
2,1/1/2022 0:41:36,1/1/2022 1:07:53,2,8.13,1.0,N,1,26,0.5,0.5,8.94,0,0.3,0,38.74,68,52,2022,1
2,1/1/2022 0:09:41,1/1/2022 0:37:46,1,7.05,1.0,N,1,26.5,0.5,0.5,6.06,0,0.3,0,36.36,90,166,2022,1
1,1/1/2022 0:45:36,1/1/2022 1:10:10,1,6.3,1.0,N,1,23,3,0.5,6.7,0,0.3,0,33.5,239,79,2022,1
2,1/1/2022 0:17:16,1/1/2022 0:45:59,4,5.08,1.0,N,1,22.5,0.5,0.5,5.26,0,0.3,0,31.56,246,263,2022,1
2,1/1/2022 0:39:01,1/1/2022 1:06:18,1,5.52,1.0,N,1,21.5,0.5,0.5,5.06,0,0.3,0,30.36,68,238,2022,1
2,1/1/2022 0:18:06,1/1/2022 1:13:47,1,9.03,1.0,N,1,37.5,0.5,0.5,10.32,0,0.3,0,51.62,48,7,2022,1
1,1/1/2022 0:47:45,1/1/2022 1:21:27,1,7,1.0,N,1,26.5,0.5,0.5,8.3,0,0.3,0,36.1,264,264,2022,1
2,1/1/2022 0:04:19,1/1/2022 0:23:27,1,9.72,1.0,N,1,28.5,0.5,0.5,6.46,0,0.3,0,38.76,48,127,2022,1
